时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2006-07-05,三",3.99,4.05,3.76,3.79,--,--,"1,763,902,000","6,846,112,400",51.06,2373
"2006-07-06,四",3.75,3.76,3.69,3.72,-1.85%,1.85%,"372,556,540","1,386,100,800",10.78,2390
"2006-07-07,五",3.72,3.73,3.66,3.68,-1.08%,1.88%,"209,798,550","773,673,490",6.07,2392
"2006-07-10,一",3.68,3.72,3.66,3.7,0.54%,1.63%,"112,723,615","416,198,690",3.26,2096
"2006-07-11,二",3.71,3.78,3.67,3.75,1.35%,2.97%,"135,645,050","502,750,830",3.93,2107
"2006-07-12,三",3.74,3.74,3.7,3.7,-1.33%,1.07%,"100,725,025","373,950,890",2.92,2064
"2006-07-13,四",3.7,3.7,3.59,3.6,-2.70%,2.97%,"258,989,830","942,429,330",7.5,2041
"2006-07-14,五",3.57,3.63,3.55,3.59,-0.28%,2.22%,"118,966,331","426,321,590",3.44,2024
"2006-07-17,一",3.58,3.59,3.55,3.58,-0.28%,1.11%,"67,495,933","241,009,740",1.95,2234
"2006-07-18,二",3.59,3.59,3.54,3.57,-0.28%,1.40%,"57,243,142","203,499,340",1.66,1919
"2006-07-19,三",3.57,3.57,3.48,3.5,-1.96%,2.52%,"95,222,836","334,635,610",2.76,1844
"2006-07-20,四",3.49,3.52,3.49,3.51,0.29%,0.86%,"53,178,063","186,634,930",1.54,1879
"2006-07-21,五",3.51,3.55,3.49,3.51,0.00%,1.71%,"60,634,862","213,124,490",1.76,1848
"2006-07-24,一",3.48,3.49,3.45,3.46,-1.42%,1.14%,"66,774,440","231,387,110",1.93,2095
"2006-07-25,二",3.46,3.49,3.46,3.47,0.29%,0.87%,"52,818,380","183,392,200",1.53,2061
"2006-07-26,三",3.47,3.47,3.43,3.45,-0.58%,1.15%,"74,410,690","256,198,150",2.15,2208
"2006-07-27,四",3.45,3.54,3.44,3.48,0.87%,2.90%,"92,582,190","323,081,880",2.68,2197
"2006-07-28,五",3.48,3.48,3.43,3.45,-0.86%,1.44%,"59,160,128","203,845,540",1.71,2016
"2006-07-31,一",3.44,3.45,3.34,3.36,-2.61%,3.19%,"89,322,402","302,049,290",2.59,2343
"2006-08-01,二",3.36,3.36,3.3,3.32,-1.19%,1.79%,"88,418,114","293,918,020",2.56,2078
"2006-08-02,三",3.3,3.36,3.28,3.35,0.90%,2.41%,"102,511,776","339,633,520",2.97,2307
"2006-08-03,四",3.32,3.35,3.31,3.34,-0.30%,1.19%,"50,889,734","169,260,930",1.47,1929
"2006-08-04,五",3.34,3.35,3.28,3.29,-1.50%,2.10%,"44,824,229","148,433,250",1.3,2005
"2006-08-07,一",3.28,3.28,3.22,3.23,-1.82%,1.82%,"57,607,780","187,260,770",1.67,1850
"2006-08-08,二",3.23,3.28,3.23,3.27,1.24%,1.55%,"44,421,231","144,421,120",1.29,1922
"2006-08-09,三",3.27,3.28,3.24,3.25,-0.61%,1.22%,"36,077,938","117,505,383",1.04,1755
"2006-08-10,四",3.25,3.29,3.25,3.28,0.92%,1.23%,"37,938,593","124,213,515",1.1,1774
"2006-08-11,五",3.28,3.29,3.25,3.27,-0.30%,1.22%,"24,708,127","80,733,985",0.72,1462
"2006-08-14,一",3.27,3.29,3.22,3.24,-0.92%,2.14%,"41,414,009","134,668,270",1.2,1836
"2006-08-15,二",3.24,3.28,3.23,3.27,0.93%,1.54%,"33,670,774","109,716,464",0.97,1626
"2006-08-16,三",3.27,3.34,3.27,3.32,1.53%,2.14%,"76,019,264","252,082,430",2.2,2050
"2006-08-17,四",3.31,3.32,3.26,3.29,-0.90%,1.81%,"32,591,317","106,997,676",0.94,1606
"2006-08-18,五",3.29,3.31,3.27,3.27,-0.61%,1.22%,"19,854,410","65,218,363",0.57,1398
"2006-08-21,一",3.23,3.28,3.22,3.27,0.00%,1.83%,"31,811,883","103,496,310",0.92,1534
"2006-08-22,二",3.28,3.3,3.26,3.27,0.00%,1.22%,"33,586,613","110,093,106",0.97,1548
"2006-08-23,三",3.28,3.3,3.26,3.27,0.00%,1.22%,"33,202,304","108,875,592",0.96,1591
"2006-08-24,四",3.28,3.29,3.25,3.29,0.61%,1.22%,"32,092,035","104,905,119",0.93,1706
"2006-08-25,五",3.27,3.29,3.26,3.27,-0.61%,0.91%,"45,851,332","150,005,300",1.33,1612
"2006-08-28,一",3.28,3.31,3.26,3.3,0.92%,1.53%,"77,808,371","256,198,990",2.25,1708
"2006-08-29,二",3.3,3.32,3.28,3.29,-0.30%,1.21%,"70,403,527","232,074,470",2.04,1872
"2006-08-30,三",3.29,3.3,3.26,3.28,-0.30%,1.22%,"26,701,105","87,417,446",0.77,1500
"2006-08-31,四",3.28,3.28,3.25,3.26,-0.61%,0.91%,"38,903,741","126,979,585",1.13,1697
"2006-09-01,五",3.26,3.27,3.23,3.24,-0.61%,1.23%,"51,244,276","166,262,470",1.48,1847
"2006-09-04,一",3.24,3.26,3.23,3.25,0.31%,0.93%,"37,311,100","121,184,554",1.08,1586
"2006-09-05,二",3.25,3.3,3.24,3.27,0.62%,1.85%,"53,845,471","176,478,980",1.56,1628
"2006-09-06,三",3.27,3.29,3.26,3.29,0.61%,0.92%,"29,958,342","98,165,484",0.87,1483
"2006-09-07,四",3.29,3.31,3.26,3.27,-0.61%,1.52%,"44,039,473","144,855,780",1.27,1478
"2006-09-08,五",3.27,3.29,3.26,3.28,0.31%,0.92%,"27,341,007","89,512,609",0.79,1366
"2006-09-11,一",3.28,3.31,3.27,3.31,0.91%,1.22%,"47,648,978","156,923,440",1.38,1726
"2006-09-12,二",3.31,3.39,3.3,3.37,1.81%,2.72%,"148,916,080","498,417,930",4.31,2223
"2006-09-13,三",3.36,3.39,3.35,3.35,-0.59%,1.19%,"91,335,350","308,045,270",2.64,2172
"2006-09-14,四",3.35,3.38,3.32,3.34,-0.30%,1.79%,"41,532,830","139,198,750",1.2,1921
"2006-09-15,五",3.34,3.49,3.34,3.46,3.59%,4.49%,"235,315,440","810,199,300",6.81,2339
"2006-09-18,一",3.48,3.49,3.42,3.44,-0.58%,2.02%,"87,770,807","302,404,750",2.54,1886
"2006-09-19,二",3.44,3.46,3.41,3.43,-0.29%,1.45%,"53,086,980","182,411,100",1.54,1857
"2006-09-20,三",3.43,3.44,3.37,3.38,-1.46%,2.04%,"76,731,336","260,232,610",2.22,1803
"2006-09-21,四",3.38,3.41,3.36,3.39,0.30%,1.48%,"61,941,451","209,820,290",1.79,1816
"2006-09-22,五",3.4,3.41,3.33,3.34,-1.47%,2.36%,"75,748,160","255,130,700",2.19,1848
"2006-09-25,一",3.33,3.35,3.3,3.33,-0.30%,1.50%,"54,419,554","180,668,310",1.58,2115
"2006-09-26,二",3.32,3.32,3.3,3.32,-0.30%,0.60%,"30,321,131","100,425,921",0.88,1900
"2006-09-27,三",3.32,3.34,3.31,3.34,0.60%,0.90%,"36,744,012","122,318,751",1.06,1787
"2006-09-28,四",3.34,3.34,3.31,3.32,-0.60%,0.90%,"40,060,440","133,114,421",1.16,2041
"2006-09-29,五",3.33,3.35,3.32,3.33,0.30%,0.90%,"75,918,295","253,369,850",2.2,2274
"2006-10-09,一",3.34,3.41,3.3,3.4,2.10%,3.30%,"344,949,600","1,154,032,130",7.96,2465
"2006-10-10,二",3.38,3.39,3.34,3.35,-1.47%,1.47%,"126,860,451","427,201,010",2.93,2440
"2006-10-11,三",3.35,3.37,3.33,3.35,0.00%,1.19%,"68,624,891","229,405,080",1.58,2304
"2006-10-12,四",3.35,3.36,3.31,3.33,-0.60%,1.49%,"76,388,243","254,565,320",1.76,2361
"2006-10-13,五",3.33,3.39,3.33,3.36,0.90%,1.80%,"133,088,896","448,254,620",3.07,2428
"2006-10-16,一",3.37,3.38,3.34,3.35,-0.30%,1.19%,"52,412,174","175,664,490",1.21,2184
"2006-10-17,二",3.34,3.35,3.32,3.34,-0.30%,0.90%,"53,312,934","177,675,030",1.23,2114
"2006-10-18,三",3.33,3.36,3.31,3.36,0.60%,1.50%,"58,916,829","196,459,310",1.36,2115
"2006-10-19,四",3.36,3.36,3.32,3.34,-0.60%,1.19%,"67,410,842","225,282,690",1.56,2287
"2006-10-20,五",3.34,3.38,3.33,3.35,0.30%,1.50%,"74,091,212","248,472,000",1.71,2250
"2006-10-23,一",3.35,3.36,3.3,3.31,-1.19%,1.79%,"65,603,278","218,599,940",1.51,2342
"2006-10-24,二",3.31,3.37,3.31,3.37,1.81%,1.81%,"76,319,248","255,208,910",1.76,2131
"2006-10-25,三",3.37,3.42,3.35,3.37,0.00%,2.08%,"167,125,900","565,179,240",3.86,2516
"2006-10-26,四",3.37,3.41,3.35,3.39,0.59%,1.78%,"166,634,700","564,743,670",3.85,2592
"2006-10-27,五",3.39,3.39,3.29,3.3,-2.65%,2.95%,"173,587,270","576,874,520",4.01,2762
"2006-10-30,一",3.3,3.3,3.25,3.26,-1.21%,1.52%,"102,416,565","334,425,700",2.36,2572
"2006-10-31,二",3.28,3.31,3.26,3.28,0.61%,1.53%,"60,597,140","198,971,970",1.4,2366
"2006-11-01,三",3.29,3.3,3.26,3.3,0.61%,1.22%,"70,536,353","231,167,960",1.63,2437
"2006-11-02,四",3.3,3.3,3.27,3.28,-0.61%,0.91%,"52,001,247","170,438,620",1.2,2406
"2006-11-03,五",3.28,3.35,3.27,3.32,1.22%,2.44%,"108,387,770","359,205,320",2.5,2483
"2006-11-06,一",3.3,3.34,3.29,3.34,0.60%,1.51%,"80,629,744","268,147,540",1.86,2489
"2006-11-07,二",3.35,3.38,3.33,3.36,0.60%,1.50%,"106,604,769","357,550,330",2.46,2558
"2006-11-08,三",3.36,3.37,3.32,3.32,-1.19%,1.49%,"46,933,197","156,561,930",1.08,2203
"2006-11-09,四",3.31,3.36,3.31,3.35,0.90%,1.51%,"65,601,604","218,935,590",1.51,2313
"2006-11-10,五",3.35,3.42,3.35,3.36,0.30%,2.09%,"286,098,110","969,951,930",6.61,2772
"2006-11-13,一",3.37,3.44,3.36,3.38,0.60%,2.38%,"179,841,150","611,044,160",4.15,2781
"2006-11-14,二",3.4,3.44,3.38,3.42,1.18%,1.78%,"141,501,540","482,915,800",3.27,2597
"2006-11-15,三",3.43,3.43,3.37,3.43,0.29%,1.75%,"126,622,215","430,958,120",2.92,2685
"2006-11-16,四",3.44,3.76,3.44,3.66,6.71%,9.33%,"688,034,400","2,469,796,100",15.89,2842
"2006-11-17,五",3.64,3.68,3.59,3.65,-0.27%,2.46%,"310,467,190","1,129,710,910",7.17,2810
"2006-11-20,一",3.65,3.72,3.62,3.7,1.37%,2.74%,"260,444,360","959,309,690",6.01,2862
"2006-11-21,二",3.69,3.7,3.6,3.68,-0.54%,2.70%,"170,508,410","623,046,670",3.94,2855
"2006-11-22,三",3.66,3.74,3.58,3.68,0.00%,4.35%,"254,769,470","929,600,590",5.88,2841
"2006-11-23,四",3.69,3.77,3.69,3.75,1.90%,2.17%,"266,430,870","994,150,760",6.15,2843
"2006-11-24,五",3.71,3.73,3.65,3.67,-2.13%,2.13%,"169,351,440","623,106,750",3.91,2810
"2006-11-27,一",3.65,3.66,3.56,3.6,-1.91%,2.72%,"162,747,880","585,713,750",3.76,2704
"2006-11-28,二",3.59,3.63,3.55,3.59,-0.28%,2.22%,"118,676,981","424,194,040",2.74,2683
"2006-11-29,三",3.54,3.61,3.51,3.61,0.56%,2.79%,"97,422,707","347,931,390",2.25,2546
"2006-11-30,四",3.62,3.65,3.59,3.64,0.83%,1.66%,"129,899,226","469,376,020",3,2732
"2006-12-01,五",3.64,3.65,3.58,3.62,-0.55%,1.92%,"105,436,830","379,947,870",2.43,2727
"2006-12-04,一",3.61,3.74,3.58,3.7,2.21%,4.42%,"243,590,800","892,055,240",5.62,2753
"2006-12-05,二",3.7,3.71,3.65,3.67,-0.81%,1.62%,"156,934,070","576,919,830",3.62,2774
"2006-12-06,三",3.67,3.7,3.57,3.61,-1.63%,3.54%,"172,075,970","623,248,380",3.97,2784
"2006-12-07,四",3.61,3.69,3.58,3.63,0.55%,3.05%,"191,914,410","700,473,920",4.43,2807
"2006-12-08,五",3.6,3.72,3.58,3.63,0.00%,3.86%,"282,097,990","1,032,245,370",6.51,2818
"2006-12-11,一",3.62,3.72,3.6,3.72,2.48%,3.31%,"154,235,120","568,032,910",3.56,2405
"2006-12-12,二",3.75,3.89,3.74,3.86,3.76%,4.03%,"385,240,240","1,474,126,200",8.89,2523
"2006-12-13,三",3.88,3.91,3.77,3.8,-1.55%,3.63%,"222,887,310","854,673,760",5.15,2527
"2006-12-14,四",3.82,3.85,3.76,3.85,1.32%,2.37%,"129,165,544","492,203,910",2.98,2539
"2006-12-15,五",3.85,3.87,3.81,3.86,0.26%,1.56%,"154,479,460","594,368,290",3.57,2589
"2006-12-18,一",3.86,3.93,3.84,3.92,1.55%,2.33%,"252,979,820","985,228,260",5.84,2521
"2006-12-19,二",3.93,4.08,3.93,4.05,3.32%,3.83%,"327,060,200","1,311,728,510",7.55,2870
"2006-12-20,三",4.01,4.04,3.96,4.02,-0.74%,1.98%,"132,086,748","529,336,230",3.05,2738
"2006-12-21,四",4.01,4.06,3.97,3.99,-0.75%,2.24%,"147,268,610","591,096,580",3.4,2837
"2006-12-22,五",3.96,4.06,3.95,4,0.25%,2.76%,"132,084,403","529,084,330",3.05,2732
"2006-12-25,一",4,4.4,4,4.3,7.50%,10.00%,"441,808,560","1,883,740,600",10.2,2770
"2006-12-26,二",4.3,4.56,4.26,4.4,2.33%,6.98%,"375,212,800","1,649,125,500",8.66,2859
"2006-12-27,三",4.4,4.55,4.31,4.49,2.05%,5.45%,"235,922,390","1,048,640,500",5.45,2672
"2006-12-28,四",4.5,4.94,4.46,4.94,10.02%,10.69%,"501,287,760","2,420,371,900",11.57,2879
"2006-12-29,五",5.01,5.43,4.99,5.43,9.92%,8.91%,"623,233,450","3,285,259,800",14.39,2876
"2007-01-04,四",5.69,5.97,5.37,5.63,3.68%,11.05%,"728,133,330","4,224,852,600",16.81,2868
"2007-01-05,五",5.3,5.34,5.07,5.07,-9.95%,4.80%,"786,730,680","4,050,377,900",15.11,2870
"2007-01-08,一",4.87,5.14,4.83,5.08,0.20%,6.11%,"556,575,640","2,763,751,900",10.69,2877
"2007-01-09,二",5.06,5.19,4.95,5.18,1.97%,4.72%,"433,445,830","2,198,327,200",8.32,2823
"2007-01-10,三",5.25,5.29,5.05,5.1,-1.54%,4.63%,"372,117,120","1,915,221,100",7.15,2863
"2007-01-11,四",5.07,5.07,4.9,4.93,-3.33%,3.33%,"327,402,640","1,625,223,400",6.29,2680
